ID,Active,Reference,Solubility  in water at 20 DegC - mg/l,Solubility  in water at 20 DegC - quality barometer,Solubility in organic solvents at 20 DegC 1 - mg/l,Solubility in organic solvents at 20 DegC 1 - quality barometer,Solubility in organic solvents at 20 DegC 2 - mg/l,Solubility in organic solvents at 20 DegC 2 - quality barometer,Solubility in organic solvents at 20 DegC 3 - mg/l,Solubility in organic solvents at 20 DegC 3 - quality barometer,Solubility in organic solvents at 20 DegC 4 - mg/l,Solubility in organic solvents at 20 DegC 4 - quality barometer,Melting point  - deg C,Melting point - quality barometer,Boiling point at 1atm - deg C,Boiling point at 1atm - quality barometer,Thermal degradation temperature at 1atm - deg C,Thermal degradation temperature at 1atm - quality barometer,Flashpoint - deg C,Flashpoint - quality barometer,LogP,LogP - quality barometer,Vapour pressure - mPa,Vapour pressure - quality barometer,Henrys law constant Hd - Pa m3 mol-1,Henrys law constant Hd - quality barometer,General biodegradability,Soil DT50 typical - days,Soil DT50 typical - quality barometer,Soil DT50 lab - days,Soil DT50 lab - quality barometer,Soil DT90 lab - days,Soil DT90 lab - quality barometer,Soil DT50 field - days,Soil DT50 field - quality barometer,Soil DT90 field - days,Soil DT90 field - quality barometer,Soil DT50 modelling endpoint,Soil DT50 modelling endpoint - quality barometer,Soil DT50 notes,Kd - ml/g,Koc - ml/g,Kd & Koc - quality barometer,Kd & Koc - notes & range,Kf - ml/g,Kfoc - ml/g,Freundlich Exponent (1/n),Freundlich isotherm - quality barometer,Kf & Kfoc - notes & text,Koc pH sensitivity,Aqueous photolysis DT50 - days,Aqueous photolysis DT50 - quality barometer,Aqueous photolysis DT50 - notes,Aqueous Hydrolysis DT50 at pH7 - days,Aqueous Hydrolysis DT50 at pH7 - quality barometer,Aqueous Hydrolysis DT50 at pH7 - notes,Whole water-sediment system DT50 - days,Whole water-sediment system DT50 - quality barometer,Water phase DT50 - days,Water phase DT50 - quality barometer,Dissipation rate RL50 on plant matrix,On plant matrix RL50 - quality barometer,On plant matrix RL50 - notes,Dissipation rate RL50 on and in plant matrix,On and in plant matrix RL50 - quality barometer,On and in plant matrix RL50 - notes,Metabolite 1 - ID,Metabolite 1 - name,Metabolite 1 - reference,Metabolite 1 - formation medium,Metabolite 1 - estimated maximum occurrence,Metabolite 1 - Annex 1 relevant,Metabolite 2 - ID,Metabolite 2 - name,Metabolite 2  - reference,Metabolite 2 - formation medium,Metabolite 2 - estimated maximum occurrence,Metabolite 2 - Annex 1 relevant,Metabolite 3 - ID,Metabolite 3 - name,Metabolite 3 - reference,Metabolite 3 - formation medium,Metabolite 3 - estimated maximum occurrence,Metabolite 3 - Annex 1 relevant,Metabolite 4 - ID,Metabolite 4 - name,Metabolite 4 - reference,Metabolite 4 - formation medium,Metabolite 4 - estimated maximum occurrence,Metabolite 4 - Annex 1 relevant,Metabolite 5 - ID,Metabolite 5 - name,Metabolite 5 - reference,Metabolite 5 - formation medium,Metabolite 5 - estimated maximum occurrence,Metabolite 5 - Annex 1 relevant,Metabolite 6 - ID,Metabolite 6 - name,Metabolite 6 - reference,Metabolite 6 - formation medium,Metabolite 6 - estimated maximum occurrence,Metabolite 6 - Annex 1 relevant,Acid dissociation constant (Pka),pKa - quality barometer,pKa - detail,Bulk bensity (g/ml)/Specific gravity,Density - quality barometer,State,Max UV-VIS absorption - l mol-1 cm-1,Max UV-VIS absorption - quality barometer,Surface tension - mN/m,Surface tension - quality barometer,GUS,SCI-GROW
"2630","halauxifen","X11393729","3070","A5",,,,,,,,,,,,,,,,,,,,,,,,"7.5","A5","7.5","A5",,,,,,,,,"EU dossier lab studies DT50 range 1.6-35.9 days, DT90 range 5.5-119 days","27.5","173.4","A5","EU dossier Kd range 0.58-3.87 mL/g, Koc range 34-539 mL/g, soils=7","17.5","80.3","0.87","A5","A5 EU dossier Kf range 0.41-113 mL/g, Kfoc range 26-341 mL/g, 1/n range 0.83-0.96, soils=7",,,,,,,,"4.7","A5","6","A5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.83350226211343","0.016281729443775"
"2686","pyridafol-O-methyl","CL-9869","1638","A2",,,,,,,,,,,,,,,,,,,,,,,,"15.2","A5","15.2","A5","90.6","A5",,,,,,,"EU Dossier Labstudies DT50 range 12.0-24.6 days, DT90 range 39.9-205 days, soils=7",,,,,"3.47","241","0.86","A5","EU dossier Kf range 0.48-9.4 mL/g, Kfoc range 66-598 mL/g, 1/n range 0.81-0.91, soils=8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.91220278363681","5.00521760570484E-02"
"2870","mazidox",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cannot be calculated","Cannot be calculated"
"3096","florpyrauxifen","X11438848",,,,,,,,,,,,,,,,,,,,,,,,,"Not readily biodegradeable","39.8","A5","39.8","A5","131.3","A5",,,,,"10.6","A5 mean flooded paddy soil","EU 2017 dossier lab studies DT50 range 28-54 days, DT90 range 92-178 days, Soils =4; Flooded paddy soil DT50 range 7-10 days, DT90 range 23-33 days, Soils=2","1.83","105.2","A5","EU 2017 dossier Kd range 0.292-3.915 mL/g, Koc range 37.8-301.1 mL/g, Soils=12","1.35","77.1","0.86","A5","EU 2017 dossier Kf range 0.26-2.54 mL/g, Kfoc range 30.3-195.5 mL/g, 1/n range 0.82-0.89, Soils=12","Yes - increased sorption in acid soils",,,,,,,"5.8","A5","5.4","A5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.38046593276848","0.468519086891476"
"359","formaldehyde",,"550000","C4","Miscible","C4 Acetone",,,,,,,"-92","B5","-19.2","B5",,,"50","V3","0.35","V3","53300000","C4","3.41E-02","V3",,"6","Q2","1.9","A5",,,,,,,,,"Other sources: DT50 2-20 days",,"37","A3","Other sources: DT50 2-20 days",,,,,,,,,,"Stable","P2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13.27","V3","Strong base","0.82","L3","Gas",,,,,"0.677872526207206","1.6404290782548E-03"
"963","2,4,5-trichlorophenol",,"1200","V3 @ 25 DegC",,,,,,,,,"68","V3","247","V3",,,"Not expected to self ignite; Not highly flammable","V3","3.72","V3","0.0029","Q3","0.16","V3",,,,,,,,,,,,,,,,"836","Q2","Estimated",,,,,,,,,,,,,,,,,"11.3","R3","Turfgrass, n=1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7.4","V3","Weak acid","1.68","V3","Grey crystalline solid",,,,,"Cannot be calculated","Cannot be calculated"
"205","deltamethrin","OMS 1998","0.0002","A5","450000","A5 Acetone","175000","A5 Xylene","8150","A5 Methanol","2470","A5 n-Heptane","101","A5","Decomposes before boiling","A5",,,"Not expected to self ignite; Not highly flammable","A5","4.6","A5","0.0000124","A5","3.10E-02","A5",,"58.2","A5","28.2","A5","87","A5","21","A5","60","A3",,,"EU dossier 2017 lab studies (normalised) DT50 range 12.5-231 days, Soils=22; EU 2002 dossier Lab studies DT50 range 18-35 days, DT90 range 58-117 days, field studies DT50 1-4 wks with realistic estimate of 3 wks (Germany), DT90 estimates range 1 month to 1 year; Other sources: 104 days (DW4)",,"10240000","A5","EU dossier Koc range 460000-16300000 mL/g","17500","10240000","0.93","A4","EU 2017 dossier kfoc range 460000-16300000 mL/g, 1/n range 0.74-1.2, Soils=4","No",,,,"Stable","A5","pH sensitive: Stable pH 5 to pH 7, DT50 8 to 9 days at pH 9, 20 degC","65","A5","17","A5","6.5","R4","Published literature RL50 range 1.6-15.0 days, 34 field & undercover grown crops, various matrices, n=43","3.0","R4","Published literature RL50 range 0.5-7.7 days, 14 field & undercover grown crops, various matrices, n=23","756","decamethrinic acid","AE F108565","Soil","0.520","Major fraction, Relevant","692","3-phenoxybenzoic acid",,"Soil","0.0056","Minor fraction, Relevant",,,,,,,,,,,,,,,,,,,,,,,,,"Not applicable","A5","No dissociation","0.55","L3","Colourless crystals","[267, 271 and 278nm, Low to very low absorption at 290-300nm]","A5",,,"-3.98027668560584","5.35307472937412E-03"
"108","calcium carbonate",,"14.0","A5","Insoluble","A5 Ethanol",,,,,,,"825","A5","Decomposes before boiling","A5","825","A5","Not expected to self ignite; Not highly flammable","A5","Not applicable","A5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.83","A5","White powder",,,"Not applicable","A5","Cannot be calculated","Cannot be calculated"
"25","aluminium ammonium sulphate",,"10467","A5","10000","A3 Heptane","10000","A3 p-Xylene","10000","A3 Ethyl acetate","10000","A3 Acetone","94.5","A5","200","A5","87","A4","Not expected to self ignite; Not highly flammable","V3","-2.0","A5","1.00E-10","E2",,,,"0.1","B3",,,,,,,,,,,"Best available data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.64","Q2","White crystalline powder","Not relevant","A5","Not relevant","A5","Cannot be calculated","Cannot be calculated"
"1330","1-naphthylacetic acid",,"16.8","A5","588","A5 n-Heptane","24340","A5 Xylene","250000","A5 Methanol","133700","A5 Acetone","130","A5","322.2","A5","360","A4","Not expected to self ignite; Not highly flammable","A5","-0.02","A5","1.27","A5","3.03E-04","A5",,"42","A4","41.7","A4","136","A4",,,,,,,"EU dossier lab studies DT50 range 6.4 days (sandy loam) - 77 days (loamy sand), DT90 range 14.7-257 days; General literature states DT50 30-50 days","1.39","84.8","A5","EU dossier Kd range 0.42-2.72 mL/g, Koc range 46.1-138.0 mL/g, Soils=3","1.39","61.2","0.842","A4","EU dossier Kf range 0.31-1.73, Kfoc range 44.65-86.53 mL/g, 1/n range 0.822-0.864, Soils=3","No","2.9","A4",,"Stable","A5","Stable pH 4,7 & 9","9.5","A5","7.0","A5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.23","A5","Weak acid",,,"White to yellow crystalline powder","[Acidic solution: 233nm = 72500]; [Neutral solution: 233nm = 79600]; [Basic solution: 282nm = 7020]","A5","35.9","A5","3.58576381960137","0.61563894210072"
"2135","zinc borate",,,,,,,,,,,,">550","F3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.7","Q3","White crystallline, odourless powder",,,,,"Cannot be calculated","Cannot be calculated"
"2518","1,4-dimethylnaphthalene",,"5.1","A5","250000","A5 Methanol","250000","A5 Ethyl acetate","250000","A5 Acetone","239000","A5 n-Heptane","1.0","A5","264","A5",,,"122","A5","4.37","A5","2500","A5","76.7","A5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not applicable","A5","No dissociation",,,"Pale yellow liquid","[Neutral: 289nm=7250, 300nm=5110]; [Acidic: 289nm=7330, 299nm=5180]; [Basic: 289nm=7340, 299nm=5210]","A5","40.7","A5","Cannot be calculated","Cannot be calculated"
"2134","disodium octaborate tetrahydrate",,"223650","A5",,,,,,,,,"803","A5",,,,,"Not expected to self-ignite; Not highly flammable","A5",,,"1.0E-02","A5",,,,,,,,,,,,,,,,,,,,,"2.6",,"0.83","A5","EU Dossier Kf range 0.4-8.41, 1/n range 0.726-0.955",,"Stable","A5","Stable at all environmentally relevant pHs","Stable","A5","Stable at all environmentally relevant pHs",,,,,,,,,,,"2136","boric acid",,"Soil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9.0","A4","Data for boric acid @ 25 DegC","1.874","A4 @ 22 DegC","White, odourless powder","[No absorption maxima found in range 190-500nm.]","A5",,,"Cannot be calculated","Cannot be calculated"
"2136","boric acid",,"57000","Q3",,,,,,,,,"171","Q3","300","Q3",,,,,"-0.757","F3",,,,,,,,,,,,,,,,,,"Naturally occurring as borate in many soils",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9.24","Q3",,"1.435","Q3","White crystalline, odourless powder",,,,,"Cannot be calculated","Cannot be calculated"
"305","fenpiclonil","CGA 142705","4.8","B5","73000","B4 Ethanol","360000","B4 Acetone","7200","B4 Toluene","26","B4 n-Hexane","145","Q3",,,,,,,"3.86","B5","1.10E-04","B5","5.40E-04","L3",,"242","B5","242","B4",,,,,,,,,"Lab studies DT50 range 232-252 days","26.1","1447","B5","UK dossier Kd range 18.1-40.5 mL/g, Koc range 1311-1902 mL/g, Soils=3",,,,,,,"0.03","B5",,"23","K4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not applicable","B5","No dissociation","1.53","B5","White crystals",,,,,"2.00128801574256","8.38347888347984E-02"
"382","hexaconazole","PP 523","18","P4","120000","C4 Ethyl acetate","164000","C4 Acetone","810","C4 Hexane","246000","C4 Methanol","111","L3",,,,,,,"3.9","P4","0.018","P4","3.33E-04","L3",,"122","K4",,,,,"225","P3",,,,,"Sandy loam DT50 ~ 10 months, clay loam ~ 5 months; General literature DT50 range  49-200 days (R3)",,"1040","DW3",,,,,,,,"10","K4",,"Stable","K4","Not greatly sensitive to pH","112","K4","112","K4",,,,"5.5","R4","Published literature RL50 range 1.7-7.8 days, 6 field crops, various matrices, n=8","708","1,2,4-triazole","CGA 71019","Soil",,"Not relevant","1039","1H-1,2,4-triazol-1-ylacetic acid","CGA 142856","Soil",,,,,,,,,,,,,,,,,,,,,,,,,,,"2.3","P4","Strong acid","1.29","L3","White crystalline solid",,,,,"2.31211699518771","0.129126401250338"
"387","hydrogen peroxide",,"1000000","V3 @ 25 DegC",,,,,,,,,"-11","Q3","152","Q3",,,,,"-1.57","V3","262601","Q2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11.65","Q3","Weak acid","1.4","Q3","In its pure form it is a colourless to light blue, unstable liquid",,,,,"Cannot be calculated","Cannot be calculated"
"423","mancopper",,,,,,,,,,,,,,,,,,,,"1.66","Q2",,,,,,,,,,,,,,,,,,,,"1","Q2","Estimated",,,,,,,,,,,,,,,,,,,,,,,"1219","cufraneb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mixed metal complex",,,,,"Cannot be calculated","Cannot be calculated"
"435","mepanipyrim","KUF 6201","2.08","A5","139000","A5 Acetone","15400","A5 Methanol","102000","A5 Ethyl acetate","277000","A5 Dichloromethane","132.8","A5","Decomposes before boiling","A5","288","A5","Not expected to self ignite; Not highly flammable","A5","3.28","A5","0.0232","A5","1.67E-03","A5","Not readily biodegradable","142.2","A5","142.2","A5","582.5","A5","57","A5","188","A5",,,"EU 2016 dossier Lab studies DT50 range 38.8-253.9 days, DT90 range 128.9->1000 days, Soils=4;  EU 2001 dossier Lab studies DT50 range 46-191 days, DT90 range 152.9-636 days, field study DT50 range 34-75 days, DT90 range 114-249.3 days",,,,,"44.88","874","0.83","A5","EU dossier Kf range 6.32-159.8, Kfoc range 395-5859 mL/g, Soils=5","Yes - increases as pH decreases","21.4","A5",,"Stable","A5","Stable pH 5 to pH 7 to pH 9 under environmental conditions, DT50 57 days at pH 9, 70 deg C","14.5","A5","7","A5","4.7","R3","Tomato fruit, undercover, n=1","8.2","R4","Published literature RL50 range 3.6-12.8 days, 2 field & undercover grown crops, various matrices, n=2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.7","A5","Strong acid","1.205","A5","White crystals","[Neutral solution: 344nm = 3170, 287nm = 29400]; [Acidic solution: 358nm = 5020, 278nm = 28300]; [Basic solution: 344nm = 3220, 287nm = 29800]","A5","72.0","A5 @ 24 degC, 99.7%","1.85857346045405","6.52896611758184E-02"
"594","sodium carbonate",,"217000","AC4",,,,,,,,,"951","AC4","1600","L3",,,,,"-6.19","V3","1.00E-10","Q1",,,,,,,,,,,,,,,,,,"1","Q2","Estimated",,,,,,,"Stable","Q3",,"Stable","Q3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.53","AC4","White powder",,,,,"Cannot be calculated","Cannot be calculated"
"605","sulphur","SAN 7116","0.063","A5","1800","A5 n-Heptane","15700","A5 Toluene","11000","A5 Dichloromethane","480","A5 Acetone","117","A5","444.6","A5",,,"Not expected to self ignite; Not highly flammable","A5","0.23","V3","0.098","A5","0.05","A5",,"30","A3","28.1","A4",,,"25.0","A4",,,,,"EU dossier lab studies DT50 range 6-64 days",,"1950","A3","Calculated",,,,,,,"0.2","A4",,"Stable","A4","Not a main degradation route","Stable","S2","Stable","S2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not applicable","A5","No dissociation","2.36","L3","Yellow crystalline powder","[220nm = 1451, 264nm = 805, 300nm = 400]","A5",,,"0.992489021548728","1.87075986647699E-02"
"634","thidiazuron","SN 49537","20","H4","2","L3 Hexane","4200","L3 Methanol","3","L3 Dichloromethane","400","L3 Toluene","211.5","L3",,,,,,,"1.77","V3","3.00E-06","H4","3.30E-08","H4",,"85","H4","10","F3",,,,,,,,,"Best available data",,"742","H3","Other sources: 110 mL/g (DW4)",,,,,,,,,,,,,,,,,,,,"2.5","R3","Cotton leaves, n=1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8.86","L3","Weak acid","1.51","Q2","Colourless crystals",,,,,"1.12959609472097","1.54823281864065E-02"
"1727","lime sulphur",,,,,,,,,,,,,,"104.8","A5",,,"Not expected to self ignite; Not highly flammable","A5",,,,,,,,"730","Q3","730","Q3",,,,,,,,,"Literature states stable in soils",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.28","V3","Orange-yellow coloured liquid",,,"71.33","A5 @20DegC","Cannot be calculated","Cannot be calculated"
"1693","azithiram","PP447",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cannot be calculated","Cannot be calculated"
"1728","urea",,"590000","F4",,,,,,,,,"134","O3","Decomposes before boiling","F4",,,"73","O2","-2.59","F4",,,,,,,,,,,,,,,,,,"Soil nutrient - main mode of degradation is via enzymatic mineralisation",,"14","F4","In high peat soils Koc ~ 0.79 mL/g",,,,,,"No but adsorption increases with organic carbon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13.90","Q3","Data as pKb","1.32","Q3","White solid with ammoniacal odour",,,,,"Cannot be calculated","Cannot be calculated"
"2152","dormant oil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cannot be calculated","Cannot be calculated"
"2393","nanosilver pesticide",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Grey powder",,,,,"Cannot be calculated","Cannot be calculated"
"2410","aluminium silicate",,"Insoluble","A5","Insoluble","A5 Acetone","Insoluble","A5 Ethyl acetate","Insoluble","A5 n-Heptane","Insoluble","A5 Xylene",,,,,"Does not sublime or decompose","A5","Not expected to self ignite; Not highly flammable","A5",,,"Non-volatile","A5","Non-volatile","A5",,,,,,,,,,,,,,,,,,,,,,,,,"Stable","A5","Stable at all pH's","Stable","A5","Stable at all pH's",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Soft grey-white powder","Not measureable","A5",,,"Cannot be calculated","Cannot be calculated"
"2432","fenapanil",,"38","V3",,,,,,,,,"161","V3",,,,,,,"2.94","V3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cannot be calculated","Cannot be calculated"
"2448","chloraniformethan","BAY 79770 ","160","L3","400000","L3 Methanol","40200","L3 Methyl isobutyl ketone","450000","L3 Cyclohexane","80.0","L3 n-Heptane","134","L3",,,,,,,,,"1.0","L3","2.0E-03","L3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cannot be calculated","Cannot be calculated"
"2454","climbazole","106162","8.28","R4","Miscible","A5 Isopropanol","Miscible","A5 Cyclohexane","550","A5 Benzyl alcohol",,,"96.8","A5","412","A5",,,"212","Q3","3.76","A5",,,,,,"300","R3",,,,,,,,,,,"Reported to be persistent especially in bio-solid amended soils",,"5754","R3","Calculated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7.5","R4",,"0.76","A5","Solid powdery substance, white to pale brown in colour","[Max at 276nm and 283nm]","A5",,,"0.594583767625614","1.17628103071445E-02"
"2545","acrylonitrile","ENT 54","76000","R4","100000","R4 Methanol","100000","R4 Ethyl acetate","100000","R4 Acetone","100000","R4 Heptane","-84","R4","77","R4",,,,,"-0.92","R4","1.37E+07","L3","0.063","R4",,"15","F3",,,,,,,,,,,"Literature states degradation in activated sewage sludge is complete in 20 days",,"9.0","R4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.81","R4","Colourless to pale yellow liquid with a garlic type odour",,,,,"3.58208876185178","0.282042109367185"
"2550","copper acetoarsenite","ENT 884",,,,,,,,,,,,,"Decomposes before boiling",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Emerald green crystalline powder",,,,,"Cannot be calculated","Cannot be calculated"
"2565","mucochloric anhydride","GC-2466",,,,,,,,,,,"141","Q3","498.4","Q3",,,"225.4","Q3","1.58","V3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crystalline solid",,,,,"Cannot be calculated","Cannot be calculated"
"2573","dinocton",,,,,,,,,,,,,,"487","Q3","190","Q3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.224","V3","White solid",,,,,"Cannot be calculated","Cannot be calculated"
"2647","chlobenthiazone","S1901","46.0","L3","330000","L3 Xylene","330000","L3 Methanol","333000","L3 Acetone","500000","L3 Cyclohexanone","131","L3",,,,,,,,,"172","L3","7.47E-01","L3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Colourless crystalline solid",,,,,"Cannot be calculated","Cannot be calculated"
"2664","hexaflurate","AC1E2290","210000","L3",,,,,,,,,"436","L3",,,,,"Not expected to self-ignite; Not highly flammable","L3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stable","R4",,"Stable","R4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.29","L3","Colourless crystalline solid",,,,,"Cannot be calculated","Cannot be calculated"
"2714","bis(2-chloroethyl)ether",,,,,,,,,,,,"-52","Q3","177","Q3",,,"Not expected to self ignite; Not highly flammable.",,"1.58","F3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.22","Q3","Clear lquid with pungent odour",,,,,"Cannot be calculated","Cannot be calculated"
"2720","calcium cyanamide",,"Insoluble","L3",,,,,,,,,"1200","L3 Sublimes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.29","L3","Colourless crystalline solid",,,,,"Cannot be calculated","Cannot be calculated"
"2724","carbon disulphide",,"2200","L3 @ 32 DegC","Miscible","L3 Chloroform","Miscible","L3 Diethyl ether","Miscible","L3 Ethanol",,,"-108.6","L3","46.3","L3",,,">100","L3","1.84","L3","4.7E+07","L3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.263","L3","Colourless liquid with strong odour",,,,,"Cannot be calculated","Cannot be calculated"
"2747","cybutryne",,"7.0","R4",,,,,,,,,"128","Q3",,,,,,,"3.95","R4","0.088","Q3",,,,,,,,,,,,,,,,,,"1569","R4","Koc literature values range 548 to 2590 g/L",,,,,,,"14","R4","Around 2 weeks in natural waters","Stable","R4","Stable at all relevant pH values",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"White crystalline powder",,,,,"Cannot be calculated","Cannot be calculated"
"2754","dehydroacetic acid",,"330000","L3","140000","L3 Methanol",,,,,,,"109","L3 Sublimes","269","L3",,,"366","Q£",,,"2.5E+05","L3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Off-white coloured powdery solid",,,,,"Cannot be calculated","Cannot be calculated"
"2758","diammonium ethylenebis(dithiocarbamate)",,,,,,,,,,,,"72.5","L3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cannot be calculated","Cannot be calculated"
"2793","gliotoxin","SN 12879","700","L3 @ 30 DegC","1000","V3 Chloroform",,,,,,,"Decomposes on melting","L3","221","L3",,,,,"2.90","V3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.75","Q3","White to pale yellow powder",,,,,"Cannot be calculated","Cannot be calculated"
"2803","2-hydrazinoethanol",,"1000000","L3",,,,,,,,,"-70","L3","219","L3",,,"73","Q3","-1.98","L3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.121","Q3","Colourless liquid",,,,,"Cannot be calculated","Cannot be calculated"
"2819","mercuric oxide",,"53.0","L3",,,,,,,,,,,,,"500","L3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Red coloured powdery solid",,,,,"Cannot be calculated","Cannot be calculated"
